ds,yhat
2022-01-03,166.98
2022-01-04,166.63
2022-01-05,166.24
2022-01-06,165.86
2022-01-07,165.7
2022-01-10,165.01
2022-01-11,164.75
2022-01-12,164.48
2022-01-13,164.23
2022-01-14,164.22
2022-01-18,164.04
2022-01-19,164.0
2022-01-20,163.98
2022-01-21,164.23
2022-01-24,164.88
2022-01-25,165.1
2022-01-26,165.31
2022-01-27,165.54
2022-01-28,166.0
2022-01-31,167.16
2022-02-01,167.49
2022-02-02,167.76
2022-02-03,168.0
2022-02-04,168.44
2022-02-07,169.21
2022-02-08,169.29
2022-02-09,169.28
2022-02-10,169.18
2022-02-11,169.24
2022-02-14,168.64
2022-02-15,168.22
2022-02-16,167.69
2022-02-17,167.5
2022-02-18,167.45
2022-02-22,166.24
2022-02-23,165.75
2022-02-24,165.22
2022-02-25,164.9
2022-02-28,163.63
2022-03-01,163.17
2022-03-02,162.72
2022-03-03,162.28
2022-03-04,162.11
2022-03-07,161.62
2022-03-08,161.51
2022-03-09,161.41
2022-03-10,161.36
2022-03-11,161.59
2022-03-14,162.24
2022-03-15,162.46
2022-03-16,162.67
2022-03-17,162.89
2022-03-18,163.33
2022-03-21,164.34
2022-03-22,164.58
2022-03-23,164.75
2022-03-24,164.88
2022-03-25,165.2
2022-03-28,165.6
2022-03-29,165.58
2022-03-30,165.49
2022-03-31,165.35
2022-04-01,165.4
2022-04-04,165.12
2022-04-05,164.93
2022-04-06,164.7
2022-04-07,164.47
2022-04-08,164.47
2022-04-11,164.33
2022-04-12,164.28
2022-04-13,164.23
2022-04-14,164.22
2022-04-18,161.56
2022-04-19,160.91
2022-04-20,160.27
2022-04-21,159.64
2022-04-22,159.27
2022-04-25,157.97
2022-04-26,157.49
2022-04-27,156.98
2022-04-28,156.45
2022-04-29,156.13
2022-05-02,154.76
2022-05-03,154.19
2022-05-04,153.56
2022-05-05,152.89
2022-05-06,152.41
2022-05-09,150.55
2022-05-10,149.82
2022-05-11,149.05
2022-05-12,148.25
2022-05-13,147.68
2022-05-16,145.68
2022-05-17,144.98
2022-05-18,144.26
2022-05-19,143.56
2022-05-20,143.09
2022-05-23,141.6
2022-05-24,141.09
2022-05-25,140.58
2022-05-26,140.09
2022-05-27,139.84
2022-05-31,138.59
2022-06-01,138.22
2022-06-02,137.85
2022-06-03,137.7
2022-06-06,136.93
2022-06-07,136.6
2022-06-08,136.22
2022-06-09,135.82
2022-06-10,135.64
2022-06-13,134.76
2022-06-14,134.95
2022-06-15,135.11
2022-06-16,135.27
2022-06-17,135.67
2022-06-21,136.99
2022-06-22,137.31
2022-06-23,137.65
